ev_id,station_id,arrival_time,departure_deadline,battery_capacity_kWh,initial_soc,target_soc,max_charging_power_kW,energy_required_kWh,minimum_charging_time_h,flexibility_buffer_h,scenario
EV_2656c7a1,ST017,2025-04-01 15:48:54,2025-04-02 06:12:52,99.08,16.99,87.98,11,70.34,6.39,8.0,NORMAL_EVENING
EV_454f67ed,ST001,2025-04-01 15:54:50,2025-04-02 02:43:47,38.77,25.86,89.84,50,24.81,0.5,10.32,NORMAL_EVENING
EV_8ae4cef5,ST002,2025-04-01 16:07:41,2025-04-02 02:30:48,72.97,21.21,87.99,50,48.73,0.97,9.41,NORMAL_EVENING
EV_6e81b979,ST009,2025-04-01 16:20:48,2025-04-02 07:31:18,80.54,24.79,85.43,11,48.85,4.44,10.73,NORMAL_EVENING
EV_c2b425fd,ST015,2025-04-01 16:28:05,2025-04-02 09:17:26,96.33,33.95,98.54,11,62.23,5.66,11.17,NORMAL_EVENING
EV_7d7ce111,ST019,2025-04-01 16:40:25,2025-04-02 05:48:45,95.36,59.6,97.9,22,36.52,1.66,11.48,NORMAL_EVENING
EV_75f5d4b8,ST003,2025-04-01 16:53:48,2025-04-02 09:18:43,95.56,38.61,96.72,7,55.53,7.93,8.48,NORMAL_EVENING
EV_6a1a702e,ST006,2025-04-01 16:54:09,2025-04-02 09:38:56,76.77,36.4,98.96,7,48.03,6.86,9.89,NORMAL_EVENING
EV_0b0b01ac,ST002,2025-04-01 17:00:05,2025-04-02 06:35:43,66.48,37.18,80.78,11,28.99,2.64,10.96,NORMAL_EVENING
EV_402c7425,ST015,2025-04-01 17:00:15,2025-04-02 04:59:34,92.7,23.79,83.29,50,55.15,1.1,10.89,NORMAL_EVENING
EV_a2496b5c,ST020,2025-04-01 17:00:50,2025-04-02 06:26:51,38.93,56.15,93.98,7,14.72,2.1,11.33,NORMAL_EVENING
EV_5eee8a8e,ST011,2025-04-01 17:01:01,2025-04-02 03:01:10,41.14,53.66,95.02,22,17.02,0.77,9.23,NORMAL_EVENING
EV_436dc94e,ST001,2025-04-01 17:01:47,2025-04-02 10:27:44,97.12,30.2,80.44,7,48.79,6.97,10.46,NORMAL_EVENING
EV_0aa690de,ST003,2025-04-01 17:02:16,2025-04-02 06:05:50,81.33,55.81,80.16,11,19.8,1.8,11.26,NORMAL_EVENING
EV_ed7db8ce,ST007,2025-04-01 17:02:44,2025-04-02 12:25:45,97.27,14.82,92.08,7,75.15,10.74,8.65,NORMAL_EVENING
EV_73670b52,ST004,2025-04-01 17:03:12,2025-04-02 04:17:20,76.02,41.56,80.63,11,29.7,2.7,8.54,NORMAL_EVENING
EV_609c719f,ST019,2025-04-01 17:03:40,2025-04-02 03:29:57,33.67,20.35,97.71,22,26.04,1.18,9.25,NORMAL_EVENING
EV_bcc6a384,ST020,2025-04-01 17:04:10,2025-04-02 06:00:43,69.67,32.25,84.61,11,36.47,3.32,9.63,NORMAL_EVENING
EV_7441dab2,ST019,2025-04-01 17:04:31,2025-04-02 10:00:03,79.67,25.84,90.3,7,51.35,7.34,9.59,NORMAL_EVENING
EV_2833b967,ST008,2025-04-01 17:04:46,2025-04-02 05:14:54,56.12,41.95,96.35,50,30.53,0.61,11.56,NORMAL_EVENING
EV_97608b51,ST005,2025-04-01 17:05:06,2025-04-02 08:39:28,77.53,47.23,85.76,7,29.87,4.27,11.3,NORMAL_EVENING
EV_c9fde163,ST017,2025-04-01 17:05:07,2025-04-02 04:56:35,34.23,18.41,80.47,7,21.25,3.04,8.82,NORMAL_EVENING
EV_c3143b85,ST015,2025-04-01 17:05:27,2025-04-02 06:28:16,68.37,35.73,88.51,11,36.09,3.28,10.1,NORMAL_EVENING
EV_e733e845,ST003,2025-04-01 17:05:29,2025-04-02 08:03:31,49.39,11.62,83.21,7,35.36,5.05,9.92,NORMAL_EVENING
EV_eb3bfbae,ST007,2025-04-01 17:06:24,2025-04-02 11:04:34,95.48,33.72,84.33,7,48.32,6.9,11.07,NORMAL_EVENING
EV_4ce3246a,ST005,2025-04-01 17:06:33,2025-04-02 04:15:22,70.36,37.55,81.81,11,31.14,2.83,8.32,NORMAL_EVENING
EV_60951686,ST015,2025-04-01 17:06:57,2025-04-02 06:33:01,96.7,59.46,87.72,11,27.33,2.48,10.95,NORMAL_EVENING
EV_a303958b,ST001,2025-04-01 17:07:11,2025-04-02 04:40:31,90.48,12.02,92.72,50,73.01,1.46,10.1,NORMAL_EVENING
EV_f74d5874,ST020,2025-04-01 17:08:04,2025-04-02 04:06:46,45.66,52.7,96.3,22,19.91,0.91,10.07,NORMAL_EVENING
EV_77b4cea9,ST011,2025-04-01 17:08:22,2025-04-02 05:39:35,59.17,32.11,96.42,22,38.05,1.73,10.79,NORMAL_EVENING
EV_bbfc8c3d,ST009,2025-04-01 17:08:50,2025-04-02 08:12:58,63.05,57.39,94.92,7,23.67,3.38,11.69,NORMAL_EVENING
EV_94784b4b,ST015,2025-04-01 17:09:13,2025-04-02 05:26:06,48.59,54.92,97.52,7,20.7,2.96,9.32,NORMAL_EVENING
EV_48f12694,ST018,2025-04-01 17:09:50,2025-04-02 05:02:19,88.09,19.87,95.86,50,66.93,1.34,10.54,NORMAL_EVENING
EV_6014366d,ST016,2025-04-01 17:10:47,2025-04-02 06:01:09,40.0,34.01,98.49,11,25.79,2.34,10.49,NORMAL_EVENING
EV_98d2ba3c,ST017,2025-04-01 17:10:52,2025-04-02 05:05:36,84.12,52.71,82.07,7,24.7,3.53,8.38,NORMAL_EVENING
EV_97c2782a,ST011,2025-04-01 17:10:57,2025-04-02 05:29:15,75.26,29.33,82.79,50,40.23,0.8,11.5,NORMAL_EVENING
EV_ea6574af,ST008,2025-04-01 17:11:27,2025-04-02 08:28:07,61.49,12.54,88.38,7,46.63,6.66,8.62,NORMAL_EVENING
EV_f6a6b647,ST018,2025-04-01 17:11:48,2025-04-02 10:43:45,81.77,28.15,99.59,7,58.42,8.35,9.19,NORMAL_EVENING
EV_ddac7b7e,ST006,2025-04-01 17:12:26,2025-04-02 06:22:58,55.99,54.2,82.93,11,16.09,1.46,11.71,NORMAL_EVENING
EV_d255d483,ST004,2025-04-01 17:12:38,2025-04-02 13:54:00,96.02,14.06,83.21,7,66.39,9.48,11.21,NORMAL_EVENING
EV_a96407eb,ST020,2025-04-01 17:13:14,2025-04-02 04:35:12,60.93,49.4,96.36,22,28.62,1.3,10.07,NORMAL_EVENING
EV_e596c825,ST016,2025-04-01 17:13:47,2025-04-02 13:17:30,85.72,16.88,90.66,7,63.25,9.04,11.03,NORMAL_EVENING
EV_03a1600a,ST018,2025-04-01 17:14:19,2025-04-02 10:17:54,90.3,25.25,85.41,7,54.33,7.76,9.3,NORMAL_EVENING
EV_b567101d,ST007,2025-04-01 17:14:48,2025-04-02 04:47:18,71.98,25.04,91.83,22,48.08,2.19,9.36,NORMAL_EVENING
EV_3027ec31,ST008,2025-04-01 17:15:55,2025-04-02 04:31:04,37.07,41.9,85.33,50,16.1,0.32,10.93,NORMAL_EVENING
EV_471af220,ST013,2025-04-01 17:16:16,2025-04-02 08:16:44,46.92,30.6,87.04,7,26.48,3.78,11.23,NORMAL_EVENING
EV_f3aebe82,ST002,2025-04-01 17:16:22,2025-04-02 06:39:46,36.81,28.04,85.55,7,21.17,3.02,10.37,NORMAL_EVENING
EV_acedac56,ST014,2025-04-01 17:16:34,2025-04-02 04:57:17,49.06,38.41,82.54,11,21.65,1.97,9.71,NORMAL_EVENING
EV_8758347d,ST014,2025-04-01 17:16:41,2025-04-02 09:17:10,89.26,37.48,93.77,7,50.24,7.18,8.83,NORMAL_EVENING
EV_becf39f4,ST003,2025-04-01 17:17:43,2025-04-02 03:00:28,51.4,47.26,97.82,22,25.99,1.18,8.53,NORMAL_EVENING
EV_7f28311e,ST006,2025-04-01 17:18:55,2025-04-02 05:25:58,30.59,10.09,81.56,50,21.86,0.44,11.68,NORMAL_EVENING
EV_2f6bc21b,ST009,2025-04-01 17:19:14,2025-04-02 09:59:50,70.17,17.19,95.8,7,55.16,7.88,8.8,NORMAL_EVENING
EV_46e3d7fe,ST006,2025-04-01 17:19:30,2025-04-02 08:59:22,61.32,16.41,91.92,7,46.29,6.61,9.05,NORMAL_EVENING
EV_d928eca2,ST016,2025-04-01 17:19:43,2025-04-02 09:26:44,46.74,16.38,92.07,7,35.38,5.05,11.06,NORMAL_EVENING
EV_5af1748b,ST014,2025-04-01 17:19:43,2025-04-02 08:25:00,80.53,43.66,89.42,11,36.84,3.35,11.74,NORMAL_EVENING
EV_3ad232d5,ST008,2025-04-01 17:19:48,2025-04-02 09:35:59,91.4,28.25,84.83,7,51.71,7.39,8.88,NORMAL_EVENING
EV_6cee5067,ST006,2025-04-01 17:19:56,2025-04-02 07:33:52,65.57,28.29,97.25,11,45.22,4.11,10.12,NORMAL_EVENING
EV_f5abe600,ST002,2025-04-01 17:20:03,2025-04-02 05:40:07,63.49,55.64,97.04,7,26.28,3.75,8.58,NORMAL_EVENING
EV_1f895591,ST006,2025-04-01 17:20:26,2025-04-02 04:35:13,54.6,38.24,87.25,11,26.76,2.43,8.81,NORMAL_EVENING
EV_f208a0d4,ST014,2025-04-01 17:21:52,2025-04-02 03:11:51,68.06,51.51,80.64,22,19.83,0.9,8.93,NORMAL_EVENING
EV_7dcedf34,ST003,2025-04-01 17:22:06,2025-04-02 04:37:27,48.05,51.87,87.81,7,17.27,2.47,8.79,NORMAL_EVENING
EV_ea9fba81,ST002,2025-04-01 17:23:56,2025-04-02 06:06:00,87.45,55.12,89.98,7,30.48,4.35,8.35,NORMAL_EVENING
EV_38f14077,ST001,2025-04-01 17:24:17,2025-04-02 05:18:26,61.57,46.83,89.36,7,26.18,3.74,8.16,NORMAL_EVENING
EV_7cc618c1,ST016,2025-04-01 17:24:36,2025-04-02 02:14:19,69.07,51.16,94.6,50,30.0,0.6,8.23,NORMAL_EVENING
EV_8bb39b91,ST004,2025-04-01 17:24:44,2025-04-02 07:13:58,53.74,40.0,80.41,7,21.71,3.1,10.72,NORMAL_EVENING
EV_119a5d5a,ST019,2025-04-01 17:24:45,2025-04-02 05:21:11,89.37,50.63,95.07,22,39.71,1.81,10.14,NORMAL_EVENING
EV_b7cb4d67,ST017,2025-04-01 17:24:55,2025-04-02 05:08:35,36.39,43.55,99.11,22,20.22,0.92,10.81,NORMAL_EVENING
EV_8a829e49,ST017,2025-04-01 17:25:40,2025-04-02 07:08:58,72.51,36.1,80.91,7,32.49,4.64,9.08,NORMAL_EVENING
EV_741cb92f,ST012,2025-04-01 17:25:48,2025-04-02 03:12:22,32.8,24.61,89.6,22,21.32,0.97,8.81,NORMAL_EVENING
EV_3067ea3a,ST017,2025-04-01 17:26:43,2025-04-02 09:29:24,60.23,36.31,87.29,7,30.7,4.39,11.66,NORMAL_EVENING
EV_d8726993,ST009,2025-04-01 17:28:45,2025-04-02 06:49:18,94.52,49.79,91.91,11,39.82,3.62,9.72,NORMAL_EVENING
EV_18b40f08,ST018,2025-04-01 17:28:56,2025-04-02 06:01:43,98.58,50.98,92.1,11,40.54,3.69,8.86,NORMAL_EVENING
EV_05f7598a,ST019,2025-04-01 17:29:12,2025-04-02 06:20:27,99.65,51.08,81.03,7,29.85,4.26,8.59,NORMAL_EVENING
EV_790f9786,ST017,2025-04-01 17:30:00,2025-04-02 04:49:12,37.54,39.36,83.8,7,16.68,2.38,8.94,NORMAL_EVENING
EV_d21b3c4f,ST005,2025-04-01 17:30:25,2025-04-02 05:45:27,43.59,27.1,83.41,11,24.55,2.23,10.02,NORMAL_EVENING
EV_3b3395e1,ST018,2025-04-01 17:30:28,2025-04-02 02:51:57,84.67,11.04,89.01,50,66.02,1.32,8.04,NORMAL_EVENING
EV_6da18399,ST013,2025-04-01 17:30:56,2025-04-02 06:08:48,50.04,17.41,87.04,11,34.85,3.17,9.46,NORMAL_EVENING
EV_cbcb752d,ST002,2025-04-01 17:31:10,2025-04-02 09:26:18,74.97,13.94,94.23,11,60.19,5.47,10.45,NORMAL_EVENING
EV_aefc055f,ST001,2025-04-01 17:31:14,2025-04-02 07:49:16,92.87,10.83,89.26,22,72.83,3.31,10.99,NORMAL_EVENING
EV_60e9ea2a,ST011,2025-04-01 17:31:34,2025-04-02 04:18:09,68.76,21.62,90.36,50,47.26,0.95,9.83,NORMAL_EVENING
EV_9a4bd1a5,ST013,2025-04-01 17:32:03,2025-04-02 02:39:14,83.36,34.59,86.28,50,43.09,0.86,8.26,NORMAL_EVENING
EV_0833195c,ST009,2025-04-01 17:32:42,2025-04-02 03:39:54,95.96,36.82,81.13,22,42.52,1.93,8.19,NORMAL_EVENING
EV_473d1495,ST006,2025-04-01 17:32:59,2025-04-02 06:30:55,75.49,39.41,98.18,11,44.37,4.03,8.93,NORMAL_EVENING
EV_688937cd,ST011,2025-04-01 17:33:21,2025-04-02 07:23:52,89.26,27.6,99.08,11,63.81,5.8,8.04,NORMAL_EVENING
EV_a2bad7d3,ST013,2025-04-01 17:33:23,2025-04-02 14:14:54,99.34,24.88,95.84,7,70.49,10.07,10.62,NORMAL_EVENING
EV_19e87495,ST013,2025-04-01 17:34:08,2025-04-02 09:47:20,90.09,46.49,86.16,7,35.73,5.1,11.12,NORMAL_EVENING
EV_0c484455,ST019,2025-04-01 17:34:12,2025-04-02 08:58:28,51.72,12.02,99.05,7,45.02,6.43,8.97,NORMAL_EVENING
EV_b2b5ae5c,ST004,2025-04-01 17:34:12,2025-04-02 04:33:47,43.69,18.82,99.34,22,35.18,1.6,9.39,NORMAL_EVENING
EV_71881448,ST019,2025-04-01 17:34:21,2025-04-02 04:48:12,75.45,38.52,94.88,22,42.52,1.93,9.3,NORMAL_EVENING
EV_2665d027,ST001,2025-04-01 17:34:39,2025-04-02 08:15:36,90.17,42.48,80.34,7,34.14,4.88,9.81,NORMAL_EVENING
EV_ecdbcc5d,ST009,2025-04-01 17:36:01,2025-04-02 02:43:07,97.43,33.93,87.64,50,52.33,1.05,8.07,NORMAL_EVENING
EV_c616f635,ST005,2025-04-01 17:36:46,2025-04-02 07:19:43,69.59,37.95,80.3,11,29.48,2.68,11.04,NORMAL_EVENING
EV_10966fe8,ST020,2025-04-01 17:37:28,2025-04-02 07:30:58,65.05,23.8,91.89,11,44.29,4.03,9.87,NORMAL_EVENING
EV_751ba2a7,ST014,2025-04-01 17:37:39,2025-04-02 09:56:49,52.05,30.89,99.86,7,35.9,5.13,11.19,NORMAL_EVENING
EV_955ef29a,ST010,2025-04-01 17:37:48,2025-04-02 06:52:04,60.44,38.77,93.33,22,32.98,1.5,11.74,NORMAL_EVENING
EV_d9d11509,ST014,2025-04-01 17:37:52,2025-04-02 03:13:13,43.27,54.11,94.06,22,17.29,0.79,8.8,NORMAL_EVENING
EV_5074385c,ST004,2025-04-01 17:37:58,2025-04-02 07:01:26,60.61,18.76,99.33,11,48.83,4.44,8.95,NORMAL_EVENING
EV_e39d2e43,ST019,2025-04-01 17:38:02,2025-04-02 07:02:30,83.62,59.57,94.29,7,29.03,4.15,9.26,NORMAL_EVENING
EV_a86faef3,ST020,2025-04-01 17:38:19,2025-04-02 05:52:30,62.56,57.82,83.56,7,16.1,2.3,9.94,NORMAL_EVENING
EV_49e7ad3d,ST007,2025-04-01 17:39:17,2025-04-02 09:15:52,50.99,23.15,83.23,7,30.63,4.38,11.23,NORMAL_EVENING
EV_f004c250,ST002,2025-04-01 17:39:32,2025-04-02 02:43:05,37.01,49.33,98.17,22,18.07,0.82,8.24,NORMAL_EVENING
EV_e48452a8,ST016,2025-04-01 17:39:38,2025-04-02 06:52:45,46.03,22.72,92.0,11,31.89,2.9,10.32,NORMAL_EVENING
EV_977adac1,ST020,2025-04-01 17:41:23,2025-04-02 04:58:12,40.3,38.19,90.82,7,21.21,3.03,8.25,NORMAL_EVENING
EV_2015a9fa,ST019,2025-04-01 17:41:37,2025-04-02 08:19:05,93.59,22.32,97.9,11,70.74,6.43,8.19,NORMAL_EVENING
EV_bcc84bbb,ST002,2025-04-01 17:42:47,2025-04-02 13:24:12,96.15,27.62,95.94,7,65.69,9.38,10.31,NORMAL_EVENING
EV_2ce7f6ea,ST004,2025-04-01 17:43:04,2025-04-02 03:22:23,49.04,28.41,95.21,22,32.76,1.49,8.17,NORMAL_EVENING
EV_c519be6b,ST003,2025-04-01 17:43:09,2025-04-02 05:24:46,78.13,51.26,99.18,11,37.44,3.4,8.29,NORMAL_EVENING
EV_e7d07ef9,ST013,2025-04-01 17:43:18,2025-04-02 05:17:56,66.14,34.28,86.34,11,34.44,3.13,8.45,NORMAL_EVENING
EV_ed26903c,ST005,2025-04-01 17:43:22,2025-04-02 05:59:12,60.71,38.71,85.72,7,28.54,4.08,8.19,NORMAL_EVENING
EV_90c0e3cb,ST011,2025-04-01 17:43:32,2025-04-02 07:30:36,81.96,38.12,84.58,7,38.08,5.44,8.34,NORMAL_EVENING
EV_d86ba7bd,ST018,2025-04-01 17:43:46,2025-04-02 03:34:25,99.75,55.94,92.49,22,36.46,1.66,8.19,NORMAL_EVENING
EV_529f4ae9,ST005,2025-04-01 17:44:00,2025-04-02 11:13:32,53.05,21.02,96.84,7,40.22,5.75,11.75,NORMAL_EVENING
EV_28a88bd3,ST006,2025-04-01 17:44:22,2025-04-02 03:11:40,41.4,10.69,95.3,50,35.03,0.7,8.75,NORMAL_EVENING
EV_ba4b4d8c,ST007,2025-04-01 17:45:07,2025-04-02 07:51:48,73.49,33.17,87.47,11,39.91,3.63,10.48,NORMAL_EVENING
EV_1746cd49,ST001,2025-04-01 17:45:09,2025-04-02 06:36:20,70.13,29.01,98.71,50,48.88,0.98,11.88,NORMAL_EVENING
EV_d0d5bc9f,ST007,2025-04-01 17:45:26,2025-04-02 06:39:06,60.31,21.36,84.02,11,37.79,3.44,9.46,NORMAL_EVENING
EV_925f85c5,ST002,2025-04-01 17:45:32,2025-04-02 11:52:36,83.8,36.68,97.5,7,50.97,7.28,10.84,NORMAL_EVENING
EV_5b540137,ST020,2025-04-01 17:45:45,2025-04-02 07:22:48,33.61,53.54,87.67,7,11.47,1.64,11.98,NORMAL_EVENING
